time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.89872676489e-08,-3.78549298675e-08,10.0026927893,6.28312966797,6.28315892912,0.0,1.94341611189e-06,-3.98950208569e-06,0.0897560964963,-0.00284979436794,-0.00133380503403,0.0,433.49521524269414,433.38315147272436,433.95570595635076,433.7164898168933
0.12000000000000001,1.25246772805e-06,-2.48254798818e-06,10.0150060503,6.28288401213,6.28282205527,0.0,6.23121634781e-05,-0.00010263643876,0.320649044187,-0.00670736479208,-0.0159589482492,0.0,478.13926301981235,477.0240417730012,475.85941178146305,475.56415572851347
0.18,1.61156617767e-05,-1.6808140898e-05,10.0380969454,6.28220085769,6.28131831161,0.0,0.00054817835954,-0.00043018479755,0.449005020953,-0.0229381409609,-0.0579771070478,0.0,447.8121174841363,444.3811944549749,446.4311642127109,445.1051553825409
0.23999999999999996,9.6929866746e-05,-6.65426604339e-05,10.0666460638,6.28075019223,6.27826004749,0.0,0.00245388436147,-0.0013619615638,0.502608692621,-0.0267796415438,-0.0397362717692,0.0,421.5726143451243,423.14364814505694,422.10104069613135,421.7693325010977
0.3,0.000365412818678,-0.000209868271817,10.1018333439,6.27946898984,6.27628102513,0.0,0.00673656659658,-0.00357511202324,0.670215026765,-0.0122589132544,-0.022079137632,0.0,457.3573783389855,458.76088004249004,457.6471165637401,458.8012570916818
0.36000000000000004,0.000915149695412,-0.000502589844266,10.1447327494,6.27890613697,6.27478754667,0.0,0.0117284414327,-0.00624672087031,0.759708149522,-0.0041700380645,-0.0312095403874,0.0,435.66369688414926,434.899595622578,432.45239073952484,433.13322406922526
0.4200000000000001,0.00179647784935,-0.000965256296954,10.192987959,6.27874704933,6.27308910679,0.0,0.0178272834636,-0.00919560234942,0.848734768246,0.00022492467108,-0.0230575867507,0.0,433.7968476412096,434.48050056916355,433.71817437381884,434.08714148477617
0.48000000000000015,0.00307517921517,-0.00160605177257,10.2464598002,6.27924178153,6.27125312704,0.0,0.0249483732645,-0.012135098634,0.933592492105,0.0207697302594,-0.053302777207,0.0,433.7641096447152,431.2164783295756,432.3039104492832,434.03130727762505
0.5400000000000001,0.00482629496563,-0.00241010973867,10.3052506077,6.28032764107,6.26916746483,0.0,0.0336732708899,-0.0145482842838,1.02601938128,0.0121321847535,-0.0119412373815,0.0,433.84164466960294,437.29931865028817,435.59915252900026,434.87627805763975
0.6000000000000002,0.00713653411647,-0.00333878858137,10.3696346802,6.28104438632,6.26841589782,0.0,0.043407584263,-0.0163344056651,1.12002760836,0.0115702675407,-0.0137222860351,0.0,436.608109266818,436.45962341467686,435.6710876274544,435.62398893763526
0.6600000000000003,0.0100400505467,-0.00435857725553,10.4392259851,6.28226043985,6.26768314849,0.0,0.0534518521273,-0.0175598597516,1.19960096216,0.0336122495322,-0.00935210314812,0.0,431.83736059928196,432.20591573728893,430.38236778159546,432.24373211067365
0.7200000000000003,0.0136142613835,-0.00542523765067,10.517063678,0.000966030280638,6.26701300611,0.0,0.0657561271527,-0.0177681541639,1.39476989272,0.0269514839021,-0.0150759120767,0.0,467.84118474931563,467.39548564382903,467.78877968905414,467.2701711117378
0.7800000000000004,0.0178389303822,-0.0064693983232,10.600228199,0.0028742420114,6.26671173221,0.0,0.0751129801603,-0.0168868010519,1.37740085171,0.0400714749398,0.00989310490674,0.0,399.25472015589753,401.5262048980687,398.9306577736639,400.1272402323711
0.8400000000000004,0.0227221081672,-0.00740635123918,10.688221204,0.00512389718487,6.26730045418,0.0,0.0875885629371,-0.0140808432958,1.55547399083,0.031766327865,0.00964939217551,0.0,462.7866725667007,462.7673631454795,463.33965597015276,462.68692472502823
0.9000000000000005,0.0283293620303,-0.00812890274746,10.7862162072,0.00708909803647,6.26803173971,0.0,0.0992435033568,-0.00979206582719,1.71080628247,0.0346573562518,0.0168351372631,0.0,455.35377088577934,455.928072936355,457.2445257476543,457.4751412786487
0.9600000000000005,0.0346070086385,-0.00855484612929,10.8928362317,0.00884773558894,6.26944583013,0.0,0.109875840926,-0.00419944664628,1.84299094356,0.0155892461477,0.0344478894315,0.0,449.01478379187773,450.44131656806076,450.7814419349715,449.23829295510797
1.0200000000000005,0.0414680954088,-0.00862486009265,11.0059351853,0.00969579691118,6.27207351812,0.0,0.118586408974,0.00195344954278,1.92683880601,0.0110532152108,0.0579005826876,0.0,435.0430347825392,437.00327842812436,434.3880764765997,434.0074476610821
1.0800000000000005,0.0488325287633,-0.00827241034242,11.1277832364,0.0108125845528,6.27594766378,0.0,0.126454172192,0.00990002193154,2.13440264825,0.0305609204092,0.0753602887483,0.0,473.1938836964716,474.538657068886,471.9910176215573,473.4940059992126
1.1400000000000006,0.0565544851547,-0.0074384192605,11.2594274037,0.0143776941255,6.28102506156,0.0,0.130434450669,0.0182097512172,2.25350916194,0.0888279143604,0.0986277857178,0.0,446.4030389906648,448.3031860056826,444.9053821450813,449.6523031871191
1.2000000000000006,0.0644034864409,-0.00600111333432,11.3993998869,0.0199321541851,0.0040106446253,0.0,0.13052788337,0.0302985045519,2.41191161121,0.0991707101749,0.110172052458,0.0,458.95237846331787,459.8764314585473,459.9192653435068,460.7445352526932
1.2600000000000007,0.0721124963868,-0.00369295466949,11.5497466517,0.0261606282212,0.0104979133424,0.0,0.125687481793,0.0473325917636,2.59922241785,0.111755539899,0.103670877886,0.0,469.2866289948043,468.79134272050794,468.940864574671,469.92606425745106
